"ma cua hang","doanh thu du doan","ten cua hang","doanh thu thuc te",ty le chinh xac"
"1","Saigon Sky Garden","5107232768","5177010688","98.6521601677"
"2","Cong Vien Le Thi Rieng","142015648","151669680","93.6348319054"
"3","Phan Van Tri","243283456","397337024","61.2284898758"
"4","The Riverside","724372928","926534656","78.1808793545"
"5","Zen Plaza","241748688","325041888","74.374628067"
"6","Lý Chính Thắng","639330560","897162240","71.2614238262"
"7","Lý Tự Trọng","581224448","749567296","77.5413274765"
"8","134 Pasteur","378556160","567028288","66.7614221573"
"9","Petro Land Tower","790757568","891634752","88.6862635612"
"10","58 Pasteur","441111264","1351159168","32.6468765736"
"11","Mỹ Phát","258462304","328041664","78.78947258"
"12","189 Lê Thánh Tôn","239663904","473605024","50.6041705608"
"13","137-139 Cô Bắc","227693504","379956704","59.9261701107"
"14","242-244 Nguyễn Đình Chiểu","693084160","831706112","83.3328187466"
"15","Center Point","562694464","985249792","57.1118593216"
"16","Nguyễn Khắc Nhu","1793317888","1930929664","92.8732872009"
"17","66 Phó Đức Chính","145326528","202392528","71.8042969704"
"18","598-600 CMT8","388391392","184561392","47.5194334984"
"19","97-99 Nguyễn Hữu Cầu","455886496","764194112","59.6558511257"
"20","234 Đề Thám","1315786496","1057701184","80.3854703903"
"21","77 Trần Bình Trọng","332454304","570425728","58.2817852497"
"22","162 D2","504256512","498905344","98.9387989044"
"23","199C CMT8","611471104","711263808","85.9696626663"
"24","297D Bùi Hữu Nghĩa","402327072","768369024","52.3611783981"
"25","454 Lê Văn Sỷ","594269760","757820032","78.4183204174"
"26","531E CMT8","128285960","197642336","64.9081349373"
"27","875 CMT8","136559296","171768544","79.5019209385"
"28","49 Bùi Thị Xuân","538714368","826794368","65.1569962502"
"29","LÀNG ĐẠI HỌC THỦ ĐỨC","1398771840","1041472448","74.4562089443"
"30","60B Võ Văn Tần","1238340736","1342496128","92.2416627407"
"31","88 Đặng Văn Ngữ","102896144","150671152","68.2918667793"
"32","133 Trần Đình Xu","550290752","771512512","71.326225996"
"33","Cao ốc Tản Đà","319076736","805089920","39.6324336529"
"34","Garden Plaza 2","245660256","462467136","53.1195044518"
"35","58 Ngô Đức Kế","381751072","483102496","79.0207207203"
"36","129 Huỳnh Văn Bánh","549164352","1160627456","47.3161607981"
"37","21B Nguyễn Đình Chiểu","373577920","758824064","49.2311626673"
"38","7A Thành Thái","618909440","614464768","99.2818534374"
"39","373 Điện Biên Phủ","131857000","183110800","72.009408474"
"40","16 Hồ Huấn Nghiệp","592367808","816999360","72.5052952766"
"41","2A Hoàng Hoa Thám","69094416","142315504","48.5501676798"
"42","23 Lê Quý Đôn","694860992","893909632","77.7328014374"
"43","106 Nguyễn Công Trứ","485795552","730620608","66.4908111095"
"44","362 Võ Văn Ngân","785872832","799583296","98.2852995396"
"45","331A Nguyễn Thái Bình","144444592","175527216","82.2918474674"
"46","299 Nguyễn Tri Phương","525405280","653624832","80.3833127022"
"47","202E Sư Vạn Hạnh","751102400","741756928","98.7557649612"
"48","206 Xô Viết Nghệ Tĩnh","380306080","549552576","69.2028582096"
"49","400 Lê Văn Sỹ","253007312","458328448","55.2021861076"
"50","373 Hai Bà Trưng","117456440","193044240","60.8443140984"
"51","90 Nguyễn Văn Thủ","244314112","278778240","87.6374423504"
"52","145 Vĩnh Viễn","446383040","1377275904","32.4105739594"
"53","289 Võ Văn Ngân","292286656","367539616","79.5252084732"
"54","37C Thuận Kiều","467950464","667042752","70.1529920101"
"55","106 Trần Nhân Tôn","247582384","433351008","57.1320652962"
"56","21 Ter Trần Khắc Chân","296157472","369498496","80.1512002945"
"57","78-80 Lý Chính Thắng","449382784","645379392","69.6307897568"
"58","59 Đỗ Quang Đẩu","134016336","236050160","56.7745149136"
"59","16 Quốc Hương","1341189248","1522478080","88.0925178528"
"60","40 Quốc Hương","622437312","617975744","99.2832124233"
"61","74 D1","400447840","595959168","67.1938359737"
"62","39 D2","857513088","814853888","95.025241375"
"63","125 Cống Quỳnh","271122368","855323904","31.6982090473"
"64","14B9 Ngô Tất Tố","558136512","638888320","87.3605728149"
"65","111 Ngô Quyền","527273280","721869952","73.0426967144"
"66","54-56 Thái Thị Nhạn","357917984","532130432","67.261326313"
"67","11C Nguyễn Thị Minh Khai","781125312","867808832","90.0112211704"
"68","89 Đặng Văn Ngữ","231366544","151566832","65.5093967915"
"69","12 Mạc Đĩnh Chi","761617856","1127188096","67.5679445267"
"70","Hikari","767312640","994483520","77.1569013596"
"71","Đại học Ngân Hàng","248639808","180785120","72.7096438408"
"72","9 Thanh Đa","605884288","693056000","87.4221265316"
"73","312 Điện Biên Phủ","531392544","695742336","76.3777792454"
"74","125 Điện Biên Phủ","410164224","629311872","65.1766240597"
"75","Hùng Vương Square","169795904","353849792","47.9853063822"
"76","Sora Gardens","1826504064","1744125824","95.4898416996"
"77","735 Nguyễn Trãi","348634464","746787200","46.6845780611"
"78","B18 Trường Sơn","500149632","630219328","79.3612003326"
"79","90 Bình Quới","587125824","795464256","73.8092005253"
"80","811 Tạ Quang Bửu","1138044416","1302607488","87.3666405678"
"81","Blue Square","364773664","357281536","97.9460895061"
"82","418 Nguyễn Duy Trinh","571072640","944088256","60.4893267155"
"83","100 Đồng Đen","171576304","301000128","57.0020675659"
"84","973 Hậu Giang","295365824","530862848","55.6388199329"
"85","158 Hai Bà Trưng","544497792","811423296","67.1040356159"
"86","256 Phan Xích Long","284484224","440445792","64.5900666714"
"87","11 Tân Hòa Đông","430518496","632293504","68.0883944035"
"88","160 Bùi Thị Xuân","683650240","660732160","96.6476917267"
"89","570 Âu Cơ","227749280","432690272","52.6356339455"
"90","240 Nguyễn Văn Luông","286871680","512412736","55.9844970703"
"92","487 Hậu Giang","458001728","601960384","76.0850310326"
"93","160 Tân Hòa Đông","112779512","298100640","37.832698226"
"94","138D Nguyễn Đình Chiểu","1333839104","1375645440","96.9609677792"
"95","352 Nguyễn Văn Luông","610561856","681659264","89.5699501038"
"96","541 Huỳnh Tấn Phát","1074931456","928635072","86.3901674747"
"97","2H Trần Nhân Tôn","430661216","618154048","69.6689128876"
"98","918 Nguyễn Trãi","504986432","807579968","62.5308275223"
"99","213 Nguyễn Duy Trinh","271187584","527309792","51.428514719"
"100","27 Phạm Văn Chiêu","783893440","945513280","82.9066574574"
"101","Petrolimex 160 Xô Viết Nghệ Tĩnh","400672608","501140960","79.9520790577"
"102","Petrolimex 410 Nguyễn Đình Chiểu","460894816","604239680","76.2768208981"
